2017-Dec-26 10:53:07.208936 INFO    [daemon] niobio v1.4.4.710 (cf58520)
2017-Dec-26 10:53:07.224536 INFO    [daemon] Module folder: E:\Computador\niobiowallet\cmd\niobiod.exe
2017-Dec-26 10:53:07.224536 INFO    [daemon] Initializing p2p server...
2017-Dec-26 10:53:07.240136 INFO    [node_server] Network: 958b4459-c496-6b98-24ba-906d89efce2a
2017-Dec-26 10:53:07.240136 INFO    [node_server] Binding on 0.0.0.0:8313
2017-Dec-26 10:53:07.240136 INFO    [node_server] Net service binded on 0.0.0.0:8313
2017-Dec-26 10:53:07.271336 INFO    [node_server] Attempting to add IGD port mapping.
2017-Dec-26 10:53:09.049739 INFO    [node_server] Added IGD port mapping.
2017-Dec-26 10:53:09.065339 INFO    [daemon] P2p server initialized OK
2017-Dec-26 10:53:09.080939 INFO    [daemon] Initializing core...
2017-Dec-26 10:53:09.096539 INFO    [Blockchain] Loading blockchain...
2017-Dec-26 10:53:09.112139 INFO    [BlockCacheSerializer] - loading block index...
2017-Dec-26 10:53:09.127739 INFO    [BlockCacheSerializer] - loading transaction map...
2017-Dec-26 10:53:09.174540 INFO    [BlockCacheSerializer] - loading spent keys...
2017-Dec-26 10:53:09.408540 INFO    [BlockCacheSerializer] - loading outputs...
2017-Dec-26 10:53:09.486540 INFO    [BlockCacheSerializer] - loading multi-signature outputs...
2017-Dec-26 10:53:09.486540 INFO    [BlockCacheSerializer] Serialization time: 375ms
2017-Dec-26 10:53:09.502140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 19111 80a25bf8b24f6b286d81d3fb9f65a3dd55c9fe1d508b3d463fa1c0512e45af6f
2017-Dec-26 10:53:09.502140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 19112 7a0a41f6ccbf72b47a21841b8e876f29877bb57aa15d7adda27c757e77fc7021
2017-Dec-26 10:53:09.502140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 24758 ef7b7c3803df58e06b21dde88c252569f118cda2fafeae9b56c6061e7c4c18eb
2017-Dec-26 10:53:09.517740 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 24759 c244f99cbcdae7eadbe19e72d17746cdb36b3fb5a446e2cd464a1bf8e4264f3c
2017-Dec-26 10:53:09.517740 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 27100 3fef469241c26535b6b7dd5482e9456ee637aac6337c17b51cafca8b6848603d
2017-Dec-26 10:53:09.533340 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 29100 bf7880e1d3fe46f1dde7351194204820ee9b5045496b6a14d10bbfe704519b8b
2017-Dec-26 10:53:09.533340 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 30200 22961a5cdebe8120ecb6cb74f03b043bf24aca54658e7d39d067bb0477fd5029
2017-Dec-26 10:53:09.548940 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32186 599e39f9fd2a43550964c5d16c80dfcf354d559bb1110379ccff177bbf90814a
2017-Dec-26 10:53:09.548940 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32187 0da9cbff2e14f4f666b4f50fe75b1ff29dfabed1f46b848e21c1c54c3684edae
2017-Dec-26 10:53:09.548940 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32352 49d308cac8a7d48dee827349040bc1762c201f968f1a1d71b61fe43e448a817e
2017-Dec-26 10:53:09.564540 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32353 5fafb60141d28d6145387c869d3911de0ab34a559b96614fae328f73d45f607f
2017-Dec-26 10:53:09.564540 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32369 38705adb21b1eaa6c09225b534d55ab74e7a30f198bafeeedd00ea0de4d517a3
2017-Dec-26 10:53:09.580140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32370 055aff89d01f240120ff6e328ae40304bb0d1c1b3a4db857125fe6e2000572bf
2017-Dec-26 10:53:09.580140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32524 daaa655ca784f2ed0544f2f555ccad6ac030333ef2fb8ca8739de8d812b404ae
2017-Dec-26 10:53:09.580140 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 32525 ff9d83adabd88968b25d00fe1c80d53b172424b62c78b0597b4a4cebc0f121e7
2017-Dec-26 10:53:09.595740 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 33000 e154e8df0facc073503e013e7ed7f2413f05cd46c9769d468767b3aed49c839f
2017-Dec-26 10:53:09.595740 INFO    [checkpoints] CHECKPOINT PASSED FOR HEIGHT 34000 ec556ea2bd8b50ad9e83c7f7fa79fa84bbcf6d8288ccf6e2c4b96af644a8f581
2017-Dec-26 10:53:09.611340 ERROR   [checkpoints] CHECKPOINT FAILED FOR HEIGHT 35000. EXPECTED HASH: 7eac17f1c048a141f60ee39332a4c0ee873a09eb53e35d6f7172ce78bfb56e8c, FETCHED HASH: ff6de08bcae35b0b86918386b3fc8de62e28cbd6115d3a0f2d2626cbcc04dcf2
2017-Dec-26 10:53:09.642540 WARNING [Blockchain] Invalid checkpoint found. Rollback blockchain to height=34000
2017-Dec-26 10:53:09.814141 INFO    [Blockchain] Checking block version at 2
2017-Dec-26 10:53:09.814141 INFO    [Blockchain] Checking block version at 31
2017-Dec-26 10:53:09.845341 INFO    [Blockchain] Blockchain initialized. last block: 34000, d4.h21.m20.s33 time ago, current difficulty: 156191
2017-Dec-26 10:53:09.845341 INFO    [daemon] Core initialized OK
2017-Dec-26 10:53:09.860941 INFO    [daemon] Starting core rpc server on address 127.0.0.1:8314
2017-Dec-26 10:53:09.860941 INFO    [daemon] Core rpc server started ok
2017-Dec-26 10:53:09.860941 INFO    [daemon] Starting p2p net loop...
2017-Dec-26 10:53:09.876541 INFO    [node_server] Starting node_server
2017-Dec-26 10:53:14.306164 INFO    [protocol] [191.113.100.53:62336 INC] Sync data returned unknown top block: 34000 -> 35689 [1689 blocks (2 days) behind] 
2017-Dec-26 10:53:14.306164 INFO    [protocol] SYNCHRONIZATION started
2017-Dec-26 10:53:21.623792 INFO    [protocol] [35.225.224.17:8313 OUT] Sync data returned unknown top block: 34000 -> 36187 [2187 blocks (3 days) behind] 
2017-Dec-26 10:53:21.623792 INFO    [protocol] SYNCHRONIZATION started
2017-Dec-26 10:53:22.043209 INFO    [Blockchain] Wrong index in transaction inputs: 1930, expected maximum 1902
